cache组,节点名,最大可承载带宽
dx-guizhou-guiyang-10-cache-4,dx-guizhou-guiyang-jd-10,19993
dx-fujian-fuzhou-15-cache-2,dx-fujian-fuzhou-jd-15,1597
dx-beijing-beijing-33-cache-2,dx-beijing-beijing-jd-33,2804
dx-heilongjiang-haerbin-10-cache-2,dx-heilongjiang-haerbin-jd-10,6199
dx-xinjiang-kelamayi-2-cache-2,dx-xinjiang-kelamayi-jd-2,3356
dx-tianjin-tianjin-15-cache-2,dx-tianjin-tianjin-jd-15,78301
dx-yunnan-kunming-12-cache-2,dx-yunnan-kunming-jd-12,86375
dx-jiangsu-yancheng-24-cache-4,dx-jiangsu-yancheng-jd-24,3387
dx-zhejiang-jiaxing-11-cache-4,dx-zhejiang-jiaxing-jd-11,33283
dx-shandong-qingdao-9-cache-11,dx-shandong-qingdao-jd-9,41900
dx-shandong-qingdao-9-cache-2,dx-shandong-qingdao-jd-9,45431
dx-jiangsu-taizhou-16-cache-2,dx-jiangsu-taizhou-jd-16,67421
dx-qinghai-haidong-1-cache-2,dx-qinghai-haidong-jd-1,70363
dx-qinghai-xining-9-cache-2,dx-qinghai-xining-jd-9,86238
dx-jiangsu-yancheng-28-cache-2,dx-jiangsu-yancheng-jd-28,90487
dx-neimenggu-huhehaote-9-cache-2,dx-neimenggu-huhehaote-jd-9,48327
dx-jiangsu-lianyungang-5-cache-6,dx-jiangsu-lianyungang-jd-5,69475
dx-guizhou-guiyang-15-cache-2,dx-guizhou-guiyang-jd-15,60780
dx-guangdong-foshan-20-cache-2,dx-guangdong-foshan-jd-20,65931
dx-sichuan-yibin-3-cache-2,dx-sichuan-yibin-jd-3,1596
dx-anhui-hefei-1-cache-2,dx-anhui-hefei-jd-1,19490
dx-jiangsu-yancheng-24-cache-2,dx-jiangsu-yancheng-jd-24,86113
dx-jilin-changchun-13-cache-2,dx-jilin-changchun-jd-13,6601
dx-hubei-xiangyang-13-cache-2,dx-hubei-xiangyang-jd-13,99248
dx-guizhou-guiyang-10-cache-2,dx-guizhou-guiyang-jd-10,27681
dx-guizhou-guiyang-15-cache-1,dx-guizhou-guiyang-jd-15,63469
dx-zhejiang-jiaxing-11-cache-3,dx-zhejiang-jiaxing-jd-11,29630
dx-zhejiang-jiaxing-10-cache-1,dx-zhejiang-jiaxing-jd-10,66048
dx-fujian-xiamen-3-cache-3,dx-fujian-xiamen-jd-3,2000
dx-yunnan-kunming-12-cache-5,dx-yunnan-kunming-jd-12,3800
dx-guizhou-guiyang-10-cache-1,dx-guizhou-guiyang-jd-10,3418
dx-sichuan-chengdu-30-cache-1,dx-sichuan-chengdu-jd-30,68693
dx-shandong-qingdao-9-cache-3,dx-shandong-qingdao-jd-9,42318
dx-gansu-lanzhou-24-cache-1,dx-gansu-lanzhou-jd-24,92656
dx-qinghai-xining-9-cache-1,dx-qinghai-xining-jd-9,65970
dx-tianjin-tianjin-15-cache-3,dx-tianjin-tianjin-jd-15,2000
dx-hubei-xiangyang-12-cache-1,dx-hubei-xiangyang-jd-12,80541
dx-guangxi-nanning-15-cache-3,dx-guangxi-nanning-jd-15,2489
dx-jiangsu-lianyungang-5-cache-7,dx-jiangsu-lianyungang-jd-5,33492
dx-sichuan-chengdu-29-cache-1,dx-sichuan-chengdu-jd-29,68605
dx-fujian-fuzhou-15-cache-3,dx-fujian-fuzhou-jd-15,3380
dx-liaoning-fushun-5-cache-3,dx-liaoning-fushun-jd-5,2000
dx-shandong-qingdao-9-cache-10,dx-shandong-qingdao-jd-9,46830
dx-guangdong-foshan-20-cache-3,dx-guangdong-foshan-jd-20,69087
dx-henan-xinxiang-3-cache-1,dx-henan-xinxiang-jd-3,32870
dx-shan3xi-baoji-12-cache-1,dx-shan3xi-baoji-jd-12,39536
dx-hunan-xiangxizizhizhou-1-cache-1,dx-hunan-xiangxizizhizhou-jd-1,32427
dx-qinghai-xining-9-cache-3,dx-qinghai-xining-jd-9,2000
dx-yunnan-kunming-12-cache-3,dx-yunnan-kunming-jd-12,78943
dx-guangdong-foshan-22-cache-1,dx-guangdong-foshan-jd-22,62496
dx-zhejiang-jiaxing-10-cache-3,dx-zhejiang-jiaxing-jd-10,57971
dx-jiangsu-lianyungang-5-cache-5,dx-jiangsu-lianyungang-jd-5,56580
dx-jiangsu-yancheng-28-cache-1,dx-jiangsu-yancheng-jd-28,85654
dx-hunan-changsha-13-cache-1,dx-hunan-changsha-jd-13,78635
dx-fujian-xiamen-3-cache-1,dx-fujian-xiamen-jd-3,1122
dx-hubei-xiangyang-13-cache-3,dx-hubei-xiangyang-jd-13,79602
dx-shandong-qingdao-9-cache-5,dx-shandong-qingdao-jd-9,1350
dx-anhui-hefei-1-cache-1,dx-anhui-hefei-jd-1,42585
dx-ningxia-zhongwei-3-cache-1,dx-ningxia-zhongwei-jd-3,93816
dx-beijing-beijing-33-cache-1,dx-beijing-beijing-jd-33,4870
dx-sichuan-yibin-3-cache-1,dx-sichuan-yibin-jd-3,64370
dx-guizhou-guiyang-10-cache-7,dx-guizhou-guiyang-jd-10,10059
dx-zhejiang-jiaxing-11-cache-5,dx-zhejiang-jiaxing-jd-11,47486
dx-neimenggu-huhehaote-9-cache-5,dx-neimenggu-huhehaote-jd-9,40891
dx-guangdong-foshan-20-cache-1,dx-guangdong-foshan-jd-20,2619
dx-jiangsu-yancheng-24-cache-1,dx-jiangsu-yancheng-jd-24,59750
dx-ningxia-zhongwei-3-cache-2,dx-ningxia-zhongwei-jd-3,77570
dx-zhejiang-jiaxing-10-cache-2,dx-zhejiang-jiaxing-jd-10,57691
dx-tianjin-tianjin-26-cache-2,dx-tianjin-tianjin-jd-26,23578
dx-guizhou-guiyang-10-cache-8,dx-guizhou-guiyang-jd-10,2000
dx-guangxi-nanning-15-cache-2,dx-guangxi-nanning-jd-15,64294
dx-shanghai-shanghai-15-cache-2,dx-shanghai-shanghai-jd-15,2500
dx-jiangsu-lianyungang-5-cache-4,dx-jiangsu-lianyungang-jd-5,27696
dx-hunan-changsha-13-cache-2,dx-hunan-changsha-jd-13,90282
