覆盖名,IP类型,运营商,可用cache组
1a92,0,dx,dx-zhejiang-jiaxing-10-cache-4
1a92,0,dx,dx-hubei-xiangyang-12-cache-1
1a92,0,dx,dx-guangdong-foshan-20-cache-3
1a92,0,dx,dx-yunnan-kunming-12-cache-1
1a92,0,dx,dx-shandong-qingdao-9-cache-11
1a92,0,dx,dx-qinghai-haidong-1-cache-2
1a92,0,dx,dx-guizhou-guiyang-10-cache-6
1a92,0,dx,dx-sichuan-chengdu-30-cache-2
1a92,0,dx,dx-ningxia-zhongwei-3-cache-2
1a92,0,dx,dx-ningxia-zhongwei-3-cache-1
1a92,0,dx,dx-neimenggu-huhehaote-9-cache-5
1a92,0,dx,dx-guizhou-guiyang-10-cache-5
1a92,0,dx,dx-qinghai-xining-9-cache-2
1a92,0,dx,dx-hunan-xiangxizizhizhou-1-cache-1
1a92,0,dx,dx-jiangsu-yancheng-28-cache-2
1a92,0,dx,dx-hubei-shiyan-5-cache-1
1a92,0,dx,dx-neimenggu-huhehaote-9-cache-2
1a92,0,dx,dx-hunan-changsha-13-cache-2
1a92,0,dx,dx-hunan-xiangxizizhizhou-1-cache-3
1a92,0,dx,dx-neimenggu-huhehaote-9-cache-1
1a92,0,dx,dx-sichuan-chengdu-30-cache-1
1a92,0,dx,dx-tianjin-tianjin-26-cache-1
1a92,0,dx,dx-guangdong-foshan-22-cache-2
1a92,0,dx,dx-sichuan-yibin-3-cache-2
1a92,0,dx,dx-guizhou-guiyang-10-cache-2
1a92,0,dx,dx-anhui-hefei-1-cache-1
1a92,0,dx,dx-gansu-lanzhou-24-cache-1
1a92,0,dx,dx-guangdong-foshan-20-cache-2
1a92,0,dx,dx-tianjin-tianjin-15-cache-2
1a92,0,dx,dx-jiangsu-lianyungang-5-cache-5
1a92,0,dx,dx-jiangsu-yancheng-24-cache-2
1a92,1,dx,dx-zhejiang-jiaxing-10-cache-4
1a92,1,dx,dx-jiangsu-taizhou-16-cache-2
1a92,1,dx,dx-jiangsu-yancheng-28-cache-2
1a92,1,dx,dx-hubei-xiangyang-13-cache-2
1a92,1,dx,dx-hubei-shiyan-5-cache-1
