运营商,用户省份,资源省份,质量等级
dx,beijing,beijing,1
dx,beijing,hebei,1
dx,beijing,tianjin,1
dx,beijing,shandong,2
dx,beijing,neimenggu,2
dx,beijing,liaoning,2
dx,beijing,henan,2
dx,beijing,jilin,2
dx,beijing,gansu,2
dx,beijing,shanxi,2
dx,beijing,ningxia,2
dx,beijing,hunan,3
dx,beijing,qinghai,3
dx,beijing,hubei,4
dx,tianjin,tianjin,1
dx,tianjin,beijing,1
dx,tianjin,hebei,1
dx,tianjin,shanxi,1
dx,tianjin,henan,2
dx,tianjin,hubei,2
dx,tianjin,jilin,2
dx,tianjin,neimenggu,2
dx,tianjin,shandong,2
dx,tianjin,liaoning,2
dx,tianjin,heilongjiang,2
dx,tianjin,ningxia,2
dx,tianjin,gansu,2
dx,tianjin,qinghai,3
dx,tianjin,zhejiang,3
dx,tianjin,shan3xi,4
dx,tianjin,jiangsu,4
dx,shanxi,shanxi,1
dx,shanxi,shan3xi,2
dx,shanxi,beijing,2
dx,shanxi,tianjin,2
dx,shanxi,hebei,2
dx,shanxi,henan,2
dx,shanxi,neimenggu,2
dx,shanxi,shandong,2
dx,shanxi,hubei,2
dx,shanxi,gansu,3
dx,shanxi,zhejiang,3
dx,shanxi,liaoning,3
dx,shanxi,jilin,3
dx,shanxi,chongqing,3
dx,shanxi,sichuan,3
dx,shanxi,ningxia,3
dx,shanxi,heilongjiang,3
dx,hebei,hebei,1
dx,hebei,beijing,1
dx,hebei,shanxi,2
dx,hebei,hubei,2
dx,hebei,neimenggu,2
dx,hebei,shandong,2
dx,hebei,shan3xi,2
dx,hebei,liaoning,2
dx,hebei,henan,2
dx,hebei,jiangsu,2
dx,hebei,tianjin,2
dx,hebei,hunan,3
dx,hebei,heilongjiang,3
dx,hebei,zhejiang,3
dx,hebei,gansu,3
dx,hebei,jilin,3
dx,neimenggu,neimenggu,1
dx,neimenggu,beijing,2
dx,neimenggu,hebei,2
dx,neimenggu,tianjin,2
dx,neimenggu,shanxi,2
dx,neimenggu,shan3xi,3
dx,neimenggu,liaoning,3
dx,neimenggu,shandong,3
dx,neimenggu,ningxia,3
dx,neimenggu,jilin,4
dx,neimenggu,zhejiang,4
dx,neimenggu,jiangsu,4
dx,neimenggu,gansu,4
dx,neimenggu,heilongjiang,4
dx,liaoning,liaoning,1
dx,liaoning,beijing,2
dx,liaoning,hebei,2
dx,liaoning,heilongjiang,2
dx,liaoning,jilin,2
dx,liaoning,shanxi,2
dx,liaoning,tianjin,2
dx,liaoning,henan,3
dx,liaoning,neimenggu,3
dx,heilongjiang,heilongjiang,1
dx,heilongjiang,tianjin,2
dx,heilongjiang,jilin,2
dx,heilongjiang,liaoning,2
dx,heilongjiang,hebei,3
dx,heilongjiang,shanxi,3
dx,heilongjiang,beijing,3
dx,heilongjiang,neimenggu,4
dx,heilongjiang,shandong,4
dx,heilongjiang,henan,4
dx,jilin,jilin,1
dx,jilin,heilongjiang,1
dx,jilin,tianjin,2
dx,jilin,beijing,2
dx,jilin,liaoning,2
dx,jilin,hebei,2
dx,jilin,shanxi,3
dx,jilin,shandong,3
dx,jilin,neimenggu,3
dx,jilin,hubei,4
dx,jilin,henan,4
dx,shanghai,shanghai,1
dx,shanghai,zhejiang,1
dx,shanghai,anhui,1
dx,shanghai,jiangsu,1
dx,shanghai,shandong,2
dx,shanghai,hunan,2
dx,shanghai,hubei,2
dx,shanghai,fujian,2
dx,jiangsu,jiangsu,1
dx,jiangsu,anhui,1
dx,jiangsu,shanghai,1
dx,jiangsu,zhejiang,2
dx,jiangsu,shandong,2
dx,jiangsu,hubei,2
dx,jiangsu,hunan,2
dx,jiangsu,fujian,2
dx,jiangsu,neimenggu,3
dx,jiangsu,guangdong,3
dx,jiangsu,jilin,4
dx,zhejiang,zhejiang,1
dx,zhejiang,jiangsu,2
dx,zhejiang,fujian,2
dx,zhejiang,hubei,2
dx,zhejiang,hunan,2
dx,zhejiang,shandong,2
dx,zhejiang,guangdong,2
dx,zhejiang,anhui,2
dx,zhejiang,shanghai,2
dx,zhejiang,neimenggu,3
dx,zhejiang,hebei,3
dx,zhejiang,jilin,4
dx,anhui,anhui,1
dx,anhui,jiangsu,1
dx,anhui,henan,2
dx,anhui,hubei,2
dx,anhui,hunan,2
dx,anhui,zhejiang,2
dx,anhui,shandong,2
dx,anhui,shanghai,2
dx,anhui,fujian,2
dx,anhui,jilin,3
dx,anhui,jiangxi,3
dx,jiangxi,jiangxi,1
dx,jiangxi,shanghai,2
dx,jiangxi,jiangsu,2
dx,jiangxi,henan,2
dx,jiangxi,hubei,2
dx,jiangxi,hunan,2
dx,jiangxi,anhui,2
dx,jiangxi,zhejiang,2
dx,jiangxi,guangdong,2
dx,jiangxi,fujian,2
dx,jiangxi,hainan,2
dx,jiangxi,guangxi,2
dx,jiangxi,hebei,3
dx,jiangxi,shandong,3
dx,jiangxi,jilin,4
dx,shandong,shandong,1
dx,shandong,tianjin,2
dx,shandong,hebei,2
dx,shandong,beijing,2
dx,shandong,henan,2
dx,shandong,anhui,2
dx,shandong,shanghai,2
dx,shandong,jiangsu,2
dx,shandong,zhejiang,2
dx,shandong,jilin,3
dx,shandong,fujian,4
dx,fujian,fujian,1
dx,fujian,hainan,2
dx,fujian,jiangxi,2
dx,fujian,guangdong,3
dx,fujian,zhejiang,3
dx,fujian,hubei,3
dx,fujian,hunan,3
dx,fujian,anhui,3
dx,fujian,shandong,4
dx,fujian,jiangsu,4
dx,fujian,shanghai,4
dx,guangdong,guangdong,1
dx,guangdong,fujian,2
dx,guangdong,guangxi,2
dx,guangdong,hunan,2
dx,guangdong,hubei,2
dx,guangdong,anhui,2
dx,guangdong,hainan,2
dx,guangdong,yunnan,2
dx,guangdong,chongqing,3
dx,guangdong,henan,3
dx,guangdong,jiangsu,3
dx,guangdong,zhejiang,3
dx,guangxi,guangxi,1
dx,guangxi,yunnan,2
dx,guangxi,hainan,2
dx,guangxi,guangdong,2
dx,guangxi,guizhou,2
dx,guangxi,hunan,2
dx,guangxi,hubei,2
dx,guangxi,sichuan,2
dx,guangxi,zhejiang,3
dx,guangxi,henan,3
dx,guangxi,jiangsu,3
dx,hainan,hainan,1
dx,hainan,guangxi,2
dx,hainan,guangdong,2
dx,hainan,hubei,3
dx,hainan,hunan,3
dx,hainan,zhejiang,3
dx,hainan,fujian,3
dx,hainan,jiangsu,4
dx,hubei,hubei,1
dx,hubei,hunan,2
dx,hubei,anhui,2
dx,hubei,chongqing,2
dx,hubei,hebei,2
dx,hubei,jiangsu,2
dx,hubei,shan3xi,2
dx,hubei,shanghai,2
dx,hubei,tianjin,2
dx,hubei,zhejiang,2
dx,hubei,guangxi,2
dx,hubei,shandong,2
dx,hubei,henan,2
dx,hubei,fujian,2
dx,hubei,hainan,3
dx,hubei,jilin,4
dx,hunan,hunan,1
dx,hunan,hubei,2
dx,hunan,henan,2
dx,hunan,guangdong,2
dx,hunan,anhui,2
dx,hunan,zhejiang,2
dx,hunan,shanghai,2
dx,hunan,chongqing,2
